"","season","hour","plant.scale","top","a","b","R2","site_name"
"62","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.426765023292688,0.361718399236061,0.763775424182343,"Corona_WWTP1"
"63","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.721979623926475,-0.0508145667302033,0.967956125591706,"Corona_WWTP1"
"64","Summer (JJA)","All Hours","scale_1x","Top 2%",0.622437201776868,0.227222602781676,0.970372545005803,"Corona_WWTP1"
"65","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.396607989014919,0.495391504492693,0.743967486441735,"Corona_WWTP1"
"66","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.778919220399811,-0.319932512768556,0.971447807987716,"Corona_WWTP1"
"67","Fall (SON)","All Hours","scale_1x","Top 2%",0.663571039103591,0.178126856845108,0.975318852324531,"Corona_WWTP1"
"68","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.604817040657484,-0.334013470856922,0.970297379298943,"Corona_WWTP1"
"69","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.687770556137048,0.211448017852991,0.972116399010898,"Corona_WWTP1"
"70","Winter (DJF)","All Hours","scale_1x","Top 2%",0.734531742462627,-0.0032490680380963,0.960357641637532,"Corona_WWTP1"
"71","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.457534303259734,0.747995163611942,0.963682602345569,"Corona_WWTP1"
"72","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.76648859785298,-0.0387824021721824,0.937999810262056,"Corona_WWTP1"
"73","All","All Hours","scale_1x","Top 2%",0.63501897240669,0.253917584621962,0.976545536883662,"Corona_WWTP1"
"74","All","High Mixing Hours","scale_1x","Top 2%",0.509627910240279,0.00397105954577863,0.931724426366305,"Corona_WWTP1"
"75","All","Low Mixing Hours","scale_1x","Top 2%",0.718504507583203,0.0543264897609098,0.962516144780711,"Corona_WWTP1"
"76","Spring (MAM)","All Hours","scale_1x","Top 2%",0.575060511611265,-0.119685391785834,0.974632789407109,"Dublin_WWTP"
"77","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.451474434182922,0.261051878816218,0.928028683433882,"Dublin_WWTP"
"78","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.569353096592297,0.204035050940674,0.980809006589961,"Dublin_WWTP"
"79","Summer (JJA)","All Hours","scale_1x","Top 2%",0.611245860095313,-0.417884927998178,0.955907991676145,"Dublin_WWTP"
"80","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.408704323550162,0.440760400567153,0.744554176382267,"Dublin_WWTP"
"81","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.59684426525529,-0.168917277501711,0.981408637279405,"Dublin_WWTP"
"82","Fall (SON)","All Hours","scale_1x","Top 2%",0.541262811489666,0.172026529456167,0.980662012619742,"Dublin_WWTP"
"83","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.44032849977815,0.363439046188554,0.933038100419595,"Dublin_WWTP"
"84","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.472412211895988,0.782143143097859,0.97628038483294,"Dublin_WWTP"
"85","Winter (DJF)","All Hours","scale_1x","Top 2%",0.265535945665937,1.74617708578555,0.963752457320748,"Dublin_WWTP"
"86","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.41783114673272,0.686371930876722,0.968523904845428,"Dublin_WWTP"
"87","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.363260780569402,1.42378098499904,0.97284897820999,"Dublin_WWTP"
"88","All","All Hours","scale_1x","Top 2%",0.393672493785726,0.906986371094409,0.958247988117853,"Dublin_WWTP"
"89","All","High Mixing Hours","scale_1x","Top 2%",0.434867913579184,0.42874683542282,0.91490368298988,"Dublin_WWTP"
"90","All","Low Mixing Hours","scale_1x","Top 2%",0.346650873531776,1.35090953425838,0.969386422995602,"Dublin_WWTP"
"91","Spring (MAM)","All Hours","scale_1x","Top 2%",0.553257672095874,-0.0576917484452373,0.951908314551545,"El_Dorado_WPP"
"92","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.422473040895708,0.369634624731084,0.811646988866469,"El_Dorado_WPP"
"93","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.592618049199248,-0.0652163068337939,0.969607779954848,"El_Dorado_WPP"
"94","Summer (JJA)","All Hours","scale_1x","Top 2%",0.550334882570147,-0.0139091982647316,0.954772948268612,"El_Dorado_WPP"
"95","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.398827221717505,0.474572795891212,0.743197530266454,"El_Dorado_WPP"
"96","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.583531473604519,0.0612570863966513,0.943847647100061,"El_Dorado_WPP"
"97","Fall (SON)","All Hours","scale_1x","Top 2%",0.618963075214388,-0.378184332149082,0.957954226616808,"El_Dorado_WPP"
"98","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.437949259952181,0.302431597668378,0.85388720568451,"El_Dorado_WPP"
"99","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.490189998012078,0.595728604581036,0.969057306949918,"El_Dorado_WPP"
"100","Winter (DJF)","All Hours","scale_1x","Top 2%",0.557369165985325,0.153048695552776,0.976301288793565,"El_Dorado_WPP"
"101","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.432597167182444,0.456935011180168,0.950026821376466,"El_Dorado_WPP"
"102","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.633877755202662,0.0315612875407527,0.940799950822724,"El_Dorado_WPP"
"103","All","All Hours","scale_1x","Top 2%",0.620800211165666,-0.410330077227728,0.961794157544655,"El_Dorado_WPP"
"104","All","High Mixing Hours","scale_1x","Top 2%",0.421181134777757,0.41948997572402,0.888634499455099,"El_Dorado_WPP"
"105","All","Low Mixing Hours","scale_1x","Top 2%",0.539539406705908,0.260724304802838,0.973364606530249,"El_Dorado_WPP"
"106","Spring (MAM)","All Hours","scale_1x","Top 2%",0.616567828058034,-0.471385779150621,0.96207253993187,"Fairfield_Suisan"
"107","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.446474074535778,0.263853642415419,0.889661219440474,"Fairfield_Suisan"
